Geography - Class-04 | Geo | Other theories: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369537783112/6369537783112.m3u8
Geography - Class-05 | Geo | Galaxy: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369576622112/6369576622112.m3u8
Geography - Class-06 | Geo | Constellation: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369614922112/6369614922112.m3u8
Geography - Class-07 | Geo | Star: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369659286112/6369659286112.m3u8
Geography - Class-08 | Geo | Sun: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369703927112/6369703927112.m3u8
Geography - Class-09 | Geo | Planet: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369828317112/6369828317112.m3u8
Geography - Class-10 | Geo | Planet: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369865043112/6369865043112.m3u8
Geography - Class-11 | Geo | Planet: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6369907550112/6369907550112.m3u8
Geography - Class-12 | Geo | Eclipse: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370130909112/6370130909112.m3u8
Geography - Class-13 | Geo | Hypothesis of Earth Origin: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370169357112/6370169357112.m3u8
Geography - Class-14 | Geo | Motions of Earth: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370215054112/6370215054112.m3u8
Geography - Class-15 | Geo | Motions of Earth: https://www.youtube.com/embed/e8o7GuTn76I
Geography - Class-16 | Geo | Motions of Earth: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370306858112/6370306858112.m3u8
Geography - Class-17 | Geo | Atmosphere: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370451073112/6370451073112.m3u8
Geography - Class-18 | Geo | Atomsphere: https://www.youtube.com/embed/_5DTpWm2WMc
Geography - Class-19 | Geo | Layers of Atmosphere: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370563296112/6370563296112.m3u8
Geography - Class-20 | Geo | Heat Budget: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370612658112/6370612658112.m3u8
Geography - Class-21 | Geo | Pressure Belt: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370663407112/6370663407112.m3u8
Geography - Class-22 | Geo | Heat Budget: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370809897112/6370809897112.m3u8
Geography - Class-23 | Geo | Winds: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370854544112/6370854544112.m3u8
Geography - Class-24 | Geo | Local Winds: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6370906008112/6370906008112.m3u8
Geography - Class-25 | Geo | Humidity & Precipitation: https://www.youtube.com/embed/1TzSu3FMp-I
Geography - Class-26 | Geo | Precipitation: https://www.youtube.com/embed/W4eCHe8KYMc
Geography - Class-27 | Geo | Cyclone & Anticyclone: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371158316112/6371158316112.m3u8
Geography - Class-28 | Geo | Anticyclone & Jet Stream: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371199781112/6371199781112.m3u8
Geography - Class-29 | Geo | MCQ Practice: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371246848112/6371246848112.m3u8
Geography - Class-30 | Geo | Oceanography: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371292557112/6371292557112.m3u8
Geography - Class-31 | Geo | Oceanography: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371337825112/6371337825112.m3u8
Geography - Class-32 | Geo | Practice Set: https://www.youtube.com/embed/9B06848dlqc
Geography - Class-33 | Geo | Oceanic Bottom Relief & Currents: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371498858112/6371498858112.m3u8
Geography - Class-34 | Geo | Interior Structure of Earth: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371543101112/6371543101112.m3u8
Geography - Class-35 | Geo | Continental Drift theory & Plate tectonic theory: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371582307112/6371582307112.m3u8
Geography - Class-36 | Geo | Earthquake & Tsunami: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6371626294112/6371626294112.m3u8
